,Central Tendency:,Average,Median,Mode,Dispersion:,Range,Variance,Standard Deviation,,,,
ames,194,,,,,,,,,,,
brunswick,187,,,,,,,,,,,
lafayette,178,,,,,,,,,,,
southeast IA,175,,,,,,,,,,,
decatur,171,,,,,,,,,,,
san luis obispo,170,,,,,,,,,,,
heartland florida,170,,,,,,,,,,,
high rockies,169,,,,,,,,,,,
salina,168,,,,,,,,,,,
monroe,165,,,,,,,,,,,
lake charles,156,,,,,,,,,,,
kokomo,156,,,,,,,,,,,
mattoon-charleston,156,,,,,,,,,,,
richmond,152,,,,,,,,,,,
northwest KS,143,,,,,,,,,,,
owensboro,140,,,,,,,,,,,
statesboro,140,,,,,,,,,,,
central louisiana,132,,,,,,,,,,,
susanville,119,,,,,,,,,,,
southeast KS,119,,,,,,,,,,,
huntington-ashland,116,,,,,,,,,,,
la salle co,116,,,,,,,,,,,
southwest KS,96,,,,,,,,,,,
houma,88,,,,,,,,,,,
fort dodge,87,,,,,,,,,,,
siskiyou county,83,,,,,,,,,,,
western IL,63,,,,,,,,,,,
eastern CO,40,,,,,,,,,,,
region,1,,,,,,,,,,,
Grand Total,123565,,,,,,,,,,,
